origin_id,timestamp,step,actual,prediction,lower,upper,q25,q75,model
1,2016-05-13 18:00:00,1,348.3333333333333,168.36111,102.42435,295.2605,128.43707,227.44464,chronos_zeroshot
1,2016-05-13 19:00:00,2,208.33333333333337,108.74936,66.460625,213.30687,81.9068,156.76668,chronos_zeroshot
1,2016-05-13 20:00:00,3,120.0,85.74469,59.708805,162.68152,68.65791,119.21404,chronos_zeroshot
1,2016-05-13 21:00:00,4,63.333333333333336,68.07448,54.093067,119.02431,59.586967,88.628815,chronos_zeroshot
1,2016-05-13 22:00:00,5,55.0,62.050835,52.807873,93.88034,57.169174,73.40635,chronos_zeroshot
1,2016-05-13 23:00:00,6,61.666666666666664,58.695026,51.80362,79.05759,55.288162,65.37439,chronos_zeroshot
1,2016-05-14 00:00:00,7,58.333333333333336,56.98333,49.95818,70.452576,53.810204,60.980606,chronos_zeroshot
1,2016-05-14 01:00:00,8,63.333333333333336,57.046368,49.490356,68.213936,53.46457,60.70411,chronos_zeroshot
1,2016-05-14 02:00:00,9,60.0,55.52007,48.76687,68.63022,52.651047,59.346176,chronos_zeroshot
1,2016-05-14 03:00:00,10,60.0,54.355663,48.635216,73.736725,52.31998,59.72255,chronos_zeroshot
1,2016-05-14 04:00:00,11,60.0,53.107628,46.671486,87.07382,50.043365,64.49725,chronos_zeroshot
1,2016-05-14 05:00:00,12,56.666666666666664,57.829166,43.74264,118.91104,49.142227,82.58169,chronos_zeroshot
1,2016-05-14 06:00:00,13,63.333333333333336,69.01737,40.52608,163.8831,50.9151,111.81825,chronos_zeroshot
1,2016-05-14 07:00:00,14,113.33333333333331,105.7569,53.016907,240.89137,72.8206,170.21118,chronos_zeroshot
1,2016-05-14 08:00:00,15,133.33333333333334,149.94965,73.79402,321.61743,102.194695,232.75752,chronos_zeroshot
1,2016-05-14 09:00:00,16,118.33333333333331,170.2297,78.61953,369.5327,111.46933,266.83,chronos_zeroshot
1,2016-05-14 10:00:00,17,158.33333333333334,192.14038,83.48364,416.28476,123.21283,302.38965,chronos_zeroshot
1,2016-05-14 11:00:00,18,96.66666666666669,229.28621,105.67215,470.84247,152.57304,349.69766,chronos_zeroshot
1,2016-05-14 12:00:00,19,116.66666666666669,219.74591,99.59169,462.1321,143.61874,339.95416,chronos_zeroshot
1,2016-05-14 13:00:00,20,113.33333333333331,172.25623,69.912834,403.11566,104.22481,285.71646,chronos_zeroshot
1,2016-05-14 14:00:00,21,106.66666666666669,156.58025,64.71394,370.86835,95.21089,260.48224,chronos_zeroshot
1,2016-05-14 15:00:00,22,130.0,144.09735,59.695526,344.90198,87.196686,241.9613,chronos_zeroshot
1,2016-05-14 16:00:00,23,111.66666666666669,157.57559,72.70853,346.5511,102.09062,250.59152,chronos_zeroshot
1,2016-05-14 17:00:00,24,241.66666666666663,155.06018,75.740685,324.4131,104.54992,238.0758,chronos_zeroshot
2,2016-05-14 18:00:00,1,166.66666666666666,165.18732,110.14638,254.77994,133.37915,207.8374,chronos_zeroshot
2,2016-05-14 19:00:00,2,90.0,113.21601,76.26932,187.50919,90.83619,148.17532,chronos_zeroshot
2,2016-05-14 20:00:00,3,86.66666666666667,87.18931,65.16554,140.83408,73.35968,110.81598,chronos_zeroshot
2,2016-05-14 21:00:00,4,75.0,71.21598,58.6044,107.36098,63.591858,85.89032,chronos_zeroshot
2,2016-05-14 22:00:00,5,61.666666666666664,61.086617,53.033424,83.92368,56.66873,69.402145,chronos_zeroshot
2,2016-05-14 23:00:00,6,48.333333333333336,59.32615,51.730816,74.36924,55.287666,64.33772,chronos_zeroshot
2,2016-05-15 00:00:00,7,53.333333333333336,57.30972,50.473988,67.8389,53.652527,60.899826,chronos_zeroshot
2,2016-05-15 01:00:00,8,55.0,57.892445,50.650173,68.57138,54.03134,61.795868,chronos_zeroshot
2,2016-05-15 02:00:00,9,51.666666666666664,56.795357,50.39562,69.33089,53.56259,61.138786,chronos_zeroshot
2,2016-05-15 03:00:00,10,40.0,53.79145,48.5348,69.889175,51.42279,58.780594,chronos_zeroshot
2,2016-05-15 04:00:00,11,51.666666666666664,54.781227,49.060165,78.634605,52.115105,62.597588,chronos_zeroshot
2,2016-05-15 05:00:00,12,56.666666666666664,57.01854,47.749985,93.249146,52.04799,70.49702,chronos_zeroshot
