origin_id,timestamp,step,actual,prediction,lower,upper,model
1,2016-05-13 18:00:00,1,348.3333333333333,241.43610915071565,121.37449504304269,361.49772325838865,sarima
1,2016-05-13 19:00:00,2,208.33333333333337,163.04787668109591,35.279741800344695,290.8160115618471,sarima
1,2016-05-13 20:00:00,3,120.0,138.6027223735999,3.5947555987891917,273.61068914841064,sarima
1,2016-05-13 21:00:00,4,63.333333333333336,97.48053358920573,-40.38113977864991,235.34220695706136,sarima
1,2016-05-13 22:00:00,5,55.0,75.17210665505186,-64.12832014386316,214.4725334539669,sarima
1,2016-05-13 23:00:00,6,61.666666666666664,64.57361281946986,-75.70029075049099,204.84751638943072,sarima
1,2016-05-14 00:00:00,7,58.333333333333336,59.42843271077933,-81.29648324294243,200.1533486645011,sarima
1,2016-05-14 01:00:00,8,63.333333333333336,57.6923743060987,-83.23762558650999,198.6223741987074,sarima
1,2016-05-14 02:00:00,9,60.0,55.75246179552318,-85.27189503440115,196.7768186254475,sarima
1,2016-05-14 03:00:00,10,60.0,53.8690087546372,-87.19856378576182,194.93658129503623,sarima
1,2016-05-14 04:00:00,11,60.0,53.410842908488455,-87.67657737013965,194.49826318711658,sarima
1,2016-05-14 05:00:00,12,56.666666666666664,62.418027791729045,-78.67849794163244,203.51455352509055,sarima
1,2016-05-14 06:00:00,13,63.333333333333336,72.29772425769735,-68.80298147325684,213.39842998865154,sarima
1,2016-05-14 07:00:00,14,113.33333333333331,100.93881904959933,-40.16380506102793,242.0414431602266,sarima
1,2016-05-14 08:00:00,15,133.33333333333334,116.98806342983312,-24.115441243343156,258.0915681030094,sarima
1,2016-05-14 09:00:00,16,118.33333333333331,105.99221610103422,-35.111692736363466,247.0961249384319,sarima
1,2016-05-14 10:00:00,17,158.33333333333334,113.0013635637189,-28.102730785423446,254.10545791286125,sarima
1,2016-05-14 11:00:00,18,96.66666666666669,117.9525969572395,-23.15158254063641,259.0567764551154,sarima
1,2016-05-14 12:00:00,19,116.66666666666669,111.57916201601086,-29.52505656493443,252.68338059695614,sarima
1,2016-05-14 13:00:00,20,113.33333333333331,104.8936570743256,-36.21057944559212,245.99789359424332,sarima
1,2016-05-14 14:00:00,21,106.66666666666669,102.01726782315748,-39.086976930673444,243.1215125769884,sarima
1,2016-05-14 15:00:00,22,130.0,96.02838604133717,-45.075862491722575,237.13263457439692,sarima
1,2016-05-14 16:00:00,23,111.66666666666669,126.42928783220435,-14.674962435409327,267.53353809981803,sarima
1,2016-05-14 17:00:00,24,241.66666666666663,183.31215366574867,42.2079026076747,324.41640472382267,sarima
2,2016-05-14 18:00:00,1,166.66666666666666,194.9113172188495,74.84970722990103,314.97292720779797,sarima
2,2016-05-14 19:00:00,2,90.0,144.05033646234472,16.28220596431356,271.8184669603759,sarima
2,2016-05-14 20:00:00,3,86.66666666666667,121.24757009669645,-13.760392047125777,256.2555322405187,sarima
2,2016-05-14 21:00:00,4,75.0,81.89651595499026,-55.9651526844568,219.75818459443732,sarima
2,2016-05-14 22:00:00,5,61.666666666666664,67.596988991965,-71.70343302947008,206.89741101340007,sarima
2,2016-05-14 23:00:00,6,48.333333333333336,60.06745021626536,-80.20644854325103,200.34134897578173,sarima
2,2016-05-15 00:00:00,7,53.333333333333336,56.37623786840994,-84.34867359299258,197.10114932981244,sarima
2,2016-05-15 01:00:00,8,55.0,55.937031677585004,-84.99296375708244,196.86702711225243,sarima
2,2016-05-15 02:00:00,9,51.666666666666664,54.57877048310952,-86.44558192557066,195.60312289178972,sarima
2,2016-05-15 03:00:00,10,40.0,53.227783344628186,-87.83978478623143,194.29535147548782,sarima
2,2016-05-15 04:00:00,11,51.666666666666664,53.09008001990331,-87.99733585566254,194.17749589546918,sarima
2,2016-05-15 05:00:00,12,56.666666666666664,61.722085101532976,-79.37443623148931,202.81860643455525,sarima
2,2016-05-15 06:00:00,13,51.666666666666664,71.58864835169615,-69.51205298022523,212.68934968361754,sarima
2,2016-05-15 07:00:00,14,93.33333333333331,101.32401067109714,-39.77860904108448,242.42663038327876,sarima
2,2016-05-15 08:00:00,15,118.33333333333331,117.6215402373456,-23.481960037657487,258.7250405123487,sarima
2,2016-05-15 09:00:00,16,101.66666666666669,106.48079170983083,-34.6231127295181,247.58469614917976,sarima
2,2016-05-15 10:00:00,17,108.33333333333331,115.06515976433421,-26.038930186816586,256.169249715485,sarima
2,2016-05-15 11:00:00,18,105.0,116.9137109331106,-24.190464166800183,258.01788603302134,sarima
2,2016-05-15 12:00:00,19,96.66666666666669,111.78967066467624,-29.314543518316782,252.89388484766926,sarima
2,2016-05-15 13:00:00,20,136.66666666666666,105.27028859710569,-35.83394352486579,246.37452071907717,sarima
2,2016-05-15 14:00:00,21,88.33333333333333,102.22235716251826,-38.88188319337111,243.32659751840765,sarima
2,2016-05-15 15:00:00,22,93.33333333333331,97.6119129489299,-43.492331186200374,238.71615708406017,sarima
2,2016-05-15 16:00:00,23,143.33333333333334,125.73149318753894,-15.372752682160012,266.8357390572379,sarima
2,2016-05-15 17:00:00,24,236.66666666666663,186.04318194333416,44.93893528264687,327.14742860402146,sarima
3,2016-05-15 18:00:00,1,98.33333333333331,199.21229693938955,79.15069069213232,319.27390318664675,sarima
3,2016-05-15 19:00:00,2,96.66666666666669,142.93285691936933,15.164730402858481,270.7009834358802,sarima
